UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power,Power_norm,Tool_wear_norm,Type_encoded
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.6639581357946156,0.0,1
2,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,0.6520317982324535,0.011857707509881422,0
3,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,0.7401570707858739,0.019762845849802372,0
4,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.5661459646090633,0.02766798418972332,0
5,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.5633104088401326,0.03557312252964427,0
6,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.5971920496417297,0.043478260869565216,1
7,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.6607215014142771,0.05533596837944664,0
8,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.6139743389704382,0.06324110671936758,0
9,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,0.4768554636708795,0.07114624505928854,1
10,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.48757556481070286,0.08300395256916997,1
11,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,0.42598149237250493,0.09486166007905138,2
12,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,0.6305125804657712,0.11462450592885376,2
13,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.6843631351744942,0.13438735177865613,1
14,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,0.5227024496801372,0.14624505928853754,1
15,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,0.3989381918856095,0.15810276679841898,0
16,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.746474308964557,0.16600790513833993,0
17,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.611045764969934,0.17391304347826086,1
18,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,0.6430860448647935,0.1857707509881423,1
19,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.7119095342687166,0.1976284584980237,2
