Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power_norm,Tool_wear_norm,Type_encoded,logit
308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0.6639581357946156,0.0,1,-4.61512051684126
308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0.6520317982324535,0.0118577075098814,0,-4.61512051684126
308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,0.7401570707858739,0.0197628458498023,0,-4.61512051684126
308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0.5661459646090633,0.0276679841897233,0,-4.61512051684126
308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0.5633104088401326,0.0355731225296442,0,-4.61512051684126
308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0.5971920496417297,0.0434782608695652,1,-4.61512051684126
308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0.6607215014142771,0.0553359683794466,0,-4.61512051684126
308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0.6139743389704382,0.0632411067193675,0,-4.61512051684126
308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,0.4768554636708795,0.0711462450592885,1,-4.61512051684126
309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0.4875755648107028,0.0830039525691699,1,-4.61512051684126
308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0.4259814923725049,0.0948616600790513,2,-4.61512051684126
309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.6305125804657712,0.1146245059288537,2,-4.61512051684126
309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0.6843631351744942,0.1343873517786561,1,-4.61512051684126
309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0.5227024496801372,0.1462450592885375,1,-4.61512051684126
309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0.3989381918856095,0.1581027667984189,0,-4.61512051684126
